level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	124	190	657	53	-1	
3	1	1	1	0	0	124	190	657	53	-1	
4	1	1	1	1	0	124	190	657	53	-1	
5	1	1	1	1	1	124	196	280	47	96	SCANNED
5	1	1	1	1	2	424	193	157	45	96	ZONE
5	1	1	1	1	3	600	190	181	45	96	TABLE
2	1	2	0	0	0	124	294	410	350	-1	
3	1	2	1	0	0	124	294	410	350	-1	
4	1	2	1	1	0	124	294	341	38	-1	
5	1	2	1	1	1	124	297	84	29	96	Zone
5	1	2	1	1	2	223	296	4	36	96	|
5	1	2	1	1	3	244	295	76	29	96	Limit
5	1	2	1	1	4	335	295	4	36	96	|
5	1	2	1	1	5	355	294	110	28	96	Owner
4	1	2	1	2	0	127	370	407	40	-1	
5	1	2	1	2	1	127	375	88	29	96	North
5	1	2	1	2	2	231	374	4	36	93	|
5	1	2	1	2	3	251	373	34	29	93	91
5	1	2	1	2	4	305	373	4	36	93	|
5	1	2	1	2	5	324	373	94	28	96	Team
5	1	2	1	2	6	433	370	101	29	96	Cedar
4	1	2	1	3	0	127	448	395	40	-1	
5	1	2	1	3	1	127	452	95	30	96	South
5	1	2	1	3	2	238	452	4	36	96	|
5	1	2	1	3	3	258	451	39	29	95	84
5	1	2	1	3	4	312	451	4	36	95	|
5	1	2	1	3	5	331	451	94	28	95	Team
5	1	2	1	3	6	441	448	81	29	96	Birch
4	1	2	1	4	0	129	527	389	40	-1	
5	1	2	1	4	1	129	531	73	29	96	East
5	1	2	1	4	2	216	530	4	37	96	|
5	1	2	1	4	3	236	530	39	28	92	76
5	1	2	1	4	4	290	529	4	37	92	|
5	1	2	1	4	5	309	529	94	28	96	Team
5	1	2	1	4	6	419	527	99	36	96	Maple
4	1	2	1	5	0	128	605	363	39	-1	
5	1	2	1	5	1	128	609	86	29	96	West
5	1	2	1	5	2	229	608	3	36	96	|
5	1	2	1	5	3	248	608	39	28	94	68
5	1	2	1	5	4	303	607	3	36	94	|
5	1	2	1	5	5	321	607	94	28	95	Team
5	1	2	1	5	6	429	605	62	29	96	Ash
