level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	118	187	857	383	-1	
3	1	1	1	0	0	118	187	857	144	-1	
4	1	1	1	1	0	118	187	857	60	-1	
5	1	1	1	1	1	118	199	279	48	96	SCANNED
5	1	1	1	1	2	419	190	375	51	96	OPERATIONS
5	1	1	1	1	3	816	187	159	46	95	CARD
4	1	1	1	2	0	120	292	522	39	-1	
5	1	1	1	2	1	120	301	169	30	96	Document
5	1	1	1	2	2	302	297	88	30	93	code:
5	1	1	1	2	3	407	292	235	32	89	OCR-AX9-771
3	1	1	2	0	0	121	369	534	46	-1	
4	1	1	2	1	0	121	369	534	46	-1	
5	1	1	2	1	1	121	380	189	35	96	Emergency
5	1	1	2	1	2	324	375	66	29	96	load
5	1	1	2	1	3	404	371	163	32	96	threshold:
5	1	1	2	1	4	583	369	72	30	96	73%
3	1	1	3	0	0	123	444	685	126	-1	
4	1	1	3	1	0	123	444	685	43	-1	
5	1	1	3	1	1	123	456	169	31	96	Escalation
5	1	1	3	1	2	307	460	109	23	96	owner:
5	1	1	3	1	3	433	451	85	36	96	Night
5	1	1	3	1	4	531	447	183	38	96	Operations
5	1	1	3	1	5	729	444	79	30	96	Lead
4	1	1	3	2	0	124	528	500	42	-1	
5	1	1	3	2	1	124	536	157	34	96	Recovery
5	1	1	3	2	2	293	531	132	30	96	window:
5	1	1	3	2	3	444	529	36	29	96	18
5	1	1	3	2	4	495	528	129	29	96	minutes
2	1	2	0	0	0	124	593	1052	54	-1	
3	1	2	1	0	0	124	593	1052	54	-1	
4	1	2	1	1	0	124	593	1052	54	-1	
5	1	2	1	1	1	124	614	63	29	96	The
5	1	2	1	1	2	202	611	113	36	96	nearby
5	1	2	1	1	3	327	609	88	29	96	value
5	1	2	1	1	4	429	607	72	29	96	37%
5	1	2	1	1	5	517	606	23	28	96	is
5	1	2	1	1	6	535	599	27	52	96	a
5	1	2	1	1	7	585	603	121	36	96	training
5	1	2	1	1	8	721	600	149	36	96	example,
5	1	2	1	1	9	887	599	50	28	96	not
5	1	2	1	1	10	949	597	51	28	96	the
5	1	2	1	1	11	1013	593	163	31	96	threshold.
